,MOF Name,Ref Code,Property,Value,Units,Condition,Summary,Reference
10,"MCF-18(L1,Ni)",HELLOW,Water Stability,Not provided,,,"The document does not provide specific information about the water stability of MCF-18(L1,Ni). There are no sentences that directly address its behavior in water or aqueous solutions.",10.1039/c3sc22222e
11,"MCF-18(L2,Co)",HELLOW,Water Stability,Not provided,N/A,,"The document does not provide specific information regarding the water stability of MCF-18(L2,Co). There are no sentences that directly address its behavior in water or aqueous solutions, nor any mention of its solubility or structural integrity when exposed to moisture or steam.",10.1039/c3sc22222e
12,"MCF-18(L2,Mg)",HELLOW,Water Stability,Not provided,N/A,,"The document does not provide specific information regarding the water stability of MCF-18(L2,Mg). There are no sentences that directly address its behavior in water or aqueous solutions.",10.1039/c3sc22222e
13,"MCF-18(L2,Ni)",HELLOW,Water Stability,Not provided,N/A,,"The document does not provide specific information regarding the water stability of MCF-18(L2,Ni). There is no mention of its behavior in water or aqueous solutions, nor any details about its crystallinity or structural changes upon exposure to moisture or water.",10.1039/c3sc22222e
14,"MCF-18(L2,Fe)",HELLOW,Water Stability,Not provided,N/A,,"The document does not provide specific information regarding the water stability of MCF-18(L2,Fe). There is no mention of its behavior in water or aqueous solutions, nor any details about its stability or instability in humid environments.",10.1039/c3sc22222e
15,"MCF-18(L3,Ni)",HELLOW,Water Stability,Not provided,N/A,,"The document does not provide specific information regarding the water stability of MCF-18(L3,Ni). There are no explicit mentions of its behavior in water or aqueous solutions, nor any statements about its solubility or structural integrity when exposed to moisture or water. The document focuses on other properties such as thermal expansion and guest-induced framework breathing.",10.1039/c3sc22222e
16,MIL-88,HELLOW,Water Stability,Not provided,N/A,,The document does not provide specific information regarding the water stability of MIL-88. It discusses the framework's flexibility and breathing amplitudes but does not mention its behavior in water or aqueous solutions.,10.1039/c3sc22222e
17,MIL-88D,HELLOW,Water Stability,Not provided,N/A,,"The document does not provide specific information regarding the water stability of MIL-88D. There are no sentences that directly address its behavior in water or aqueous solutions, nor any mention of its stability or instability in humid environments or when exposed to moisture.",10.1039/c3sc22222e
18,MIL-88B,HELLOW,Water Stability,Not provided,N/A,,"The document does not provide specific information regarding the water stability of MIL-88B. There are no sentences that directly address its behavior in water or aqueous solutions, nor any mention of its solubility or retention of properties after exposure to moisture or water.",10.1039/c3sc22222e
19,C38H42Cl8Cu1-N8O14,HELLOW,Water Stability,Not provided,N/A,,Not provided,10.1021/cg070100h
20,C38H44Cl2Cu1-N8O16,HELLOW,Water Stability,Not provided,N/A,,"The document does not provide specific information regarding the water stability of the MOF C38H44Cl2Cu1-N8O16. There are no sentences that directly address its behavior in water or aqueous solutions, nor any mention of its stability or instability in humid environments or upon exposure to moisture.",10.1021/cg070100h
21,C35H44Cl2Cu1-N8O16,HELLOW,Water Stability,Not provided,N/A,,Not provided,10.1021/cg070100h
22,C28H32Cu1F12-N8O6P2,HELLOW,Water Stability,Not provided,N/A,,Not provided,10.1021/cg070100h
23,C50H55Cl2Cu1-N11O20,HELLOW,Water Stability,Not provided,N/A,,Not provided,10.1021/cg070100h
24,C34H48Cl2Cu1-N8O16,HELLOW,Water Stability,Not provided,N/A,,Not provided,10.1021/cg070100h
25,C32H36Cu1F12-N8O10P2,HELLOW,Water Stability,Not provided,N/A,,Not provided,10.1021/cg070100h
26,C32H44Cl2Cu1-N8O16,HELLOW,Water Stability,Not provided,,,"The document does not provide any specific information regarding the water stability of the MOF C32H44Cl2Cu1-N8O16. There are no sentences that mention its behavior in water or aqueous solutions, nor any details about its stability or instability in humid environments or water.",10.1021/cg070100h
27,C32H46Cu1-N10O15,HELLOW,Water Stability,Not provided,N/A,,Not provided,10.1021/cg070100h
28,C32H40Cu1F12-N8 O6P2,HELLOW,Water Stability,Not provided,N/A,,Not provided,10.1021/cg070100h
29,C28H34Cu1F12-N8O7P2,HELLOW,Water Stability,Not provided,N/A,,The document does not provide specific information regarding the water stability of the MOF with the name C28H34Cu1F12-N8O7P2. There are no sentences that directly address its stability or instability in water or aqueous solutions.,10.1021/cg070100h
30,C32H44Cl1Cu1F6-N8O12P1,HELLOW,Water Stability,Not provided,N/A,,Not provided,10.1021/cg070100h
31,Y(BTC)(H2O).4.3H2O,HELLOW,Water Stability,Not provided,,,Not provided,10.1021/cg400096e
32,[Y2(TPBTM)(H2O)2].xG (NJU-Bai11),HELLOW,Water Stability,Not provided,N/A,,"The document does not provide any information regarding the water stability of the MOF [Y2(TPBTM)(H2O)2].xG (NJU-Bai11). There are no mentions of its behavior in water or aqueous solutions, nor any details about its stability or instability in humid environments or when exposed to moisture or steam. The document focuses on other properties such as gas adsorption and luminescence.",10.1021/cg400096e
33,[Cd2Ca2(PBDC)(H2O)2(e-urea)(DMF)]n2n(DMF),HELLOW,Water Stability,Not provided,N/A,,"The document does not provide any information regarding the water stability of the MOF [Cd2Ca2(PBDC)(H2O)2(e-urea)(DMF)]n2n(DMF). There is no mention of its solubility, retention of structure, or change in properties when exposed to water or humidity.",10.1007/s10904-013-9884-z
34,Ba2(EDTA),HELLOW,Water Stability,Not provided,N/A,,"The document does not provide explicit information regarding the water stability of Ba2(EDTA). There is no mention of its solubility, retention of structure, or changes in properties after exposure to moisture or water. The document primarily discusses the thermal properties and crystal structure of Ba2(EDTA), but not its behavior in water or humid conditions.",10.1002/zaac.201000044
35,Ba2(EDTA).2.5H2O,HELLOW,Water Stability,Not provided,N/A,,"The document does not provide explicit information about the water stability of Ba2(EDTA)·2.5H2O according to the given rules. The document discusses the dehydration behavior and thermal decomposition of Ba2(EDTA)·2.5H2O, but these are not considered water stability. There is no mention of the MOF being insoluble or retaining its structure in water, nor is there any indication of it decomposing or changing properties in a humid environment.",10.1002/zaac.201000044
36,[Mg(IPA)(EtOH)],HELLOW,Water Stability,Not provided,N/A,,The document does not provide specific information about the water stability of [Mg(IPA)(EtOH)]. There is no mention of its solubility or stability in water or aqueous solutions.,10.1016/j.poly.2012.02.006
37,[Mg4(IPA)3(HCOO)2(DMF)2],HELLOW,Water Stability,Unstable,N/A,,"Compound 1 dissolved completely in pure water and in all solvent mixtures that included water. However, 1 was insoluble in EtOH as well as a DMF/EtOH mixture.",10.1016/j.poly.2012.02.006
38,[[Co4(dpdo)12][H(H2O)21(CH3CN)12][PMo12O40]3]∞,HELLOW,Water Stability,Not provided,N/A,,"The document does not provide specific information regarding the water stability of [[Co4(dpdo)12][H(H2O)21(CH3CN)12][PMo12O40]3]∞. The text discusses dehydration/rehydration processes and structural transformations, but these are related to thermal conditions and not directly to water stability as defined by the provided rules. There is no mention of the MOF's behavior in water or aqueous solutions, nor any indication of its solubility or retention of structure in such environments.",10.1021/ja907023c
39,[[Co 4(dpdo) 12][H(H 2O)21(CH 3CN) 12][PW 12O40]3]∞,HELLOW,Water Stability,Not provided,,,"The document does not provide explicit information regarding the water stability of the MOF [[Co 4(dpdo) 12][H(H 2O)21(CH 3CN) 12][PW 12O40]3]∞. There are no sentences that directly address its behavior in water or aqueous solutions, nor its stability or instability in humid environments.",10.1021/ja907023c
40,[NiII(Me 6-[14]ane-N 4)]2[WIV(CN) 8]Æ6H2O,HELLOW,Water Stability,Not provided,N/A,,"The document does not provide any information regarding the water stability of the MOF [NiII(Me6-[14]ane-N4)]2[WIV(CN)8]Æ6H2O. There is no mention of its behavior in water or aqueous solutions, nor any indication of its solubility or structural changes upon exposure to moisture or water. The document focuses on the synthesis, crystal structure, and magnetic properties of the complex, with no specific details on water stability.",10.1016/j.inoche.2007.04.031
41,"[Zn(1,2-BAB)(Phen)]8$(G-I)4(H2O)",HELLOW,Water Stability,Not provided,N/A,,"The document does not provide specific information regarding the water stability of [Zn(1,2-BAB)(Phen)]8$(G-I)4(H2O). There is no mention of its solubility, retention of porous structure, or changes in properties after exposure to water or humidity.",10.1039/b904387j
42,"[Cd2(1,2-BAB)2(Phen)2]$ (G-II)2(H2O)",HELLOW,Water Stability,Not provided,N/A,,"The document does not provide specific information regarding the water stability of [Cd2(1,2-BAB)2(Phen)2]$ (G-II)2(H2O). There are no sentences that directly address its solubility, retention of structure, or changes in properties when exposed to water or moisture.",10.1039/b904387j
43,"[Zn(1,3-BAB)(Phen)]4$(G-III)",HELLOW,Water Stability,Not provided,N/A,,"The document does not provide specific information regarding the water stability of [Zn(1,3-BAB)(Phen)]4$(G-III). There is no mention of its solubility, retention of porous structure, or changes in properties after exposure to water or moisture.",10.1039/b904387j
44,[Zn2(G-IV)2(Phen)2],HELLOW,Water Stability,Not provided,N/A,,"The document does not provide specific information regarding the water stability of [Zn2(G-IV)2(Phen)2]. There is no mention of its solubility, retention of porous structure, or changes in properties after exposure to moisture or water. Therefore, the water stability is categorized as 'Not provided'.",10.1039/b904387j
45,(M3O)2(TCPP-M)3,HELLOW,Water Stability,Not provided,N/A,,"The document does not provide specific information regarding the water stability of (M3O)2(TCPP-M)3. There are no mentions of its behavior in water or aqueous solutions, nor any details about its crystallinity or structural integrity after exposure to moisture or water.",10.1021/jacs.6b08724
46,(Mn3O)2(TCPP-Ni)3,HELLOW,Water Stability,Not provided,,,"The document does not provide specific information regarding the water stability of (Mn3O)2(TCPP-Ni)3. There are no sentences that directly address its behavior in water or aqueous solutions, nor any mention of its stability or instability in such environments.",10.1021/jacs.6b08724
47,(Fe3O)2(TCPP-Ni)3,HELLOW,Water Stability,Not provided,N/A,,Not provided,10.1021/jacs.6b08724
48,(Ni3O)2(TCPP-Co)3,HELLOW,Water Stability,Not provided,,,"The document does not provide specific information regarding the water stability of (Ni3O)2(TCPP-Co)3. There are no sentences that discuss its behavior in water or aqueous solutions, nor any mention of its stability or instability in humid environments or upon exposure to moisture.",10.1021/jacs.6b08724
49,(Fe3O)2(TCPP-Co)3,HELLOW,Water Stability,Not provided,N/A,,Not provided,10.1021/jacs.6b08724
50,(Mn1.45Fe1.55O)2(TCPP-Ni)3,HELLOW,Water Stability,Not provided,,,"The document does not provide specific information regarding the water stability of (Mn1.45Fe1.55O)2(TCPP-Ni)3. There are no sentences that mention its behavior in water or aqueous solutions, nor any details about its crystallinity or structural changes upon exposure to moisture or water.",10.1021/jacs.6b08724
51,(Ni2.07Fe0.93O)2(TCPP-Co)3,HELLOW,Water Stability,Not provided,N/A,,"The document does not provide specific information regarding the water stability of (Ni2.07Fe0.93O)2(TCPP-Co)3. There are no sentences that discuss its behavior in water or aqueous solutions, nor any mention of its stability or instability in humid environments or upon exposure to moisture.",10.1021/jacs.6b08724
52,(Mn1.77Ni1.23O)2(TCPP-Ni)3,HELLOW,Water Stability,Not provided,N/A,,"The document does not provide specific information regarding the water stability of (Mn1.77Ni1.23O)2(TCPP-Ni)3. There are no sentences that explicitly mention its behavior in water or aqueous solutions, nor any details about its crystallinity or structural integrity after exposure to moisture or water.",10.1021/jacs.6b08724
53,NTU-2,HELLOW,Water Stability,Not provided,N/A,,"The document does not provide specific information regarding the water stability of NTU-2. There are no sentences that explicitly mention its behavior in water or aqueous solutions, nor any details about its stability or instability when exposed to moisture or steam.",10.1039/c5ce01725d
54,NTU-3,HELLOW,Water Stability,Not provided,N/A,,"The document does not provide specific information regarding the water stability of NTU-3. There is no mention of its behavior in water or aqueous solutions, nor any details about its stability or instability in humid environments or when exposed to moisture or steam.",10.1039/c5ce01725d
55,NTU-4,HELLOW,Water Stability,Not provided,N/A,,"The document does not provide specific information regarding the water stability of NTU-4. There is no mention of its behavior in water or aqueous solutions, nor any details about its stability or instability in humid environments or when exposed to moisture or steam.",10.1039/c5ce01725d
56,[Co(pam)(bpa)(H2O)2]n n(DMF),HELLOW,Water Stability,Not provided,N/A,,"The document does not provide any information regarding the water stability of the MOF [Co(pam)(bpa)(H2O)2]n n(DMF). There is no mention of the MOF's behavior in water or aqueous solutions, nor any indication of its solubility or structural changes upon exposure to moisture or water. The document focuses on thermal stability and structural characterization, but does not address water stability.",10.1080/15533174.2013.843559
57,1Cu’,HELLOW,Water Stability,Not provided,N/A,,"The document does not provide specific information regarding the water stability of 1Cu'. There is no mention of its behavior in water or aqueous solutions, nor any details about its stability or instability in humid environments or when exposed to moisture. The document focuses on its thermal stability, gas adsorption properties, and catalytic performance, but does not address water stability.",10.1002/chem.201503163
58,[[Zn2(L)(H2O)2].(5DMF).(4H2O)],HELLOW,Water Stability,Unstable,N/A,,"The unstable nature of 1 upon de-solvation prevents us from obtaining a porous framework for gas-storage applications. The PXRD patterns reveal that the framework turns amorphous at 508C (Figure S8 in the Supporting Information). Even solvent exchanges by using different solvents like MeOH, EtOH, Me2CO or CH2Cl2 , followed by mild activation, lead to complete breakdown of the framework.",10.1002/chem.201503163
59,"[Zn4O(L2)2(2,6-NDC) 0.5][(CH 3)2NH 2]",HELLOW,Water Stability,Not provided,N/A,,"The document does not provide any specific information regarding the water stability of the MOF [Zn4O(L2)2(2,6-NDC) 0.5][(CH 3)2NH 2]. There are no mentions of its behavior in water or aqueous solutions, nor any details about its stability or instability in humid environments or when exposed to moisture or steam. The document focuses on other properties and synthesis details, but not on water stability.",10.1021/ic502643m
60,[Zn4O(L2)2(BDC)0.5]-[(CH3)2NH2],HELLOW,Water Stability,Not provided,N/A,,The document does not provide specific information regarding the water stability of [Zn4O(L2)2(BDC)0.5]-[(CH3)2NH2]. There are no sentences that explicitly mention its behavior in water or aqueous solutions.,10.1021/ic502643m
61,ZnL–DMF,HELLOW,Water Stability,Not provided,N/A,,"The document does not provide specific information regarding the water stability of ZnL–DMF. There is no mention of its behavior in water or aqueous solutions, nor any details about its stability or instability in humid environments or when exposed to moisture.",10.1002/chem.201406098
62,ZnL–Zn,HELLOW,Water Stability,Not provided,N/A,,"The document does not provide specific information about the water stability of ZnL–Zn. There is no mention of its behavior in water or aqueous solutions, nor any details about its stability or instability in humid environments or when exposed to moisture. The document focuses on the synthesis, structure, and metal exchange properties of ZnL–Zn, but does not address its water stability.",10.1002/chem.201406098
63,[Cd(pnta)2]$3.8DMF,HELLOW,Water Stability,Not provided,N/A,,"The document does not provide any information regarding the water stability of [Cd(pnta)2]$3.8DMF. There are no mentions of its behavior in water or aqueous solutions, nor any statements about its solubility or structural changes upon exposure to moisture or water.",10.1039/c2ce05948g
64,[Zn2(pnta)3(OH)]$2DMF,HELLOW,Water Stability,Not provided,N/A,,"The document does not provide any information regarding the water stability of [Zn2(pnta)3(OH)]$2DMF. There is no mention of its behavior in water or aqueous solutions, nor any details about its crystallinity or structural integrity after exposure to moisture or water. The document focuses on other properties such as thermal stability and luminescent properties, but these do not pertain to water stability.",10.1039/c2ce05948g
65,[Ni(pnta)2]$1.3DMF,HELLOW,Water Stability,Not provided,N/A,,"The document does not provide any information regarding the water stability of [Ni(pnta)2]$1.3DMF. There is no mention of its behavior in water or aqueous solutions, nor any details about its crystallinity or structural integrity after exposure to moisture or water.",10.1039/c2ce05948g
66,[[Cu(II)(2-PYA)2]3â[Cu(I)(2-PYA)]2â(H2O)2]n,HELLOW,Water Stability,Not provided,N/A,,"The document does not provide specific information regarding the water stability of the MOF [[Cu(II)(2-PYA)2]3â[Cu(I)(2-PYA)]2â(H2O)2]n. There is no mention of its behavior in water or aqueous solutions, nor any details about its stability or instability in humid environments or when exposed to moisture or steam. The document focuses on the synthesis, crystal structure, and thermal stability of the MOF, but does not address water stability specifically.",10.1021/ic034943j
67,"[(EMIM)2[Zn7(μ4-O)2(1,4-ndc)6]]n",HELLOW,Water Stability,Not provided,N/A,,"The document does not provide any information regarding the water stability of the MOF [(EMIM)2[Zn7(μ4-O)2(1,4-ndc)6]]n. There are no mentions of solubility, stability in water, or changes in properties upon exposure to moisture or water. The document focuses on the synthesis, structure, and other properties such as thermal and photoluminescent properties, but not on water stability.",10.1016/j.inoche.2011.09.039
68,[(Cu2I2)Cu2(C11H7N2O2)4].(NMP)6.4 (H2O)2.4,HELLOW,Water Stability,Not provided,,,"The document states that the as-synthesized green crystals are insoluble in water and common organic solvents. However, there is no further information provided about the MOF's stability or instability in water or aqueous solutions, nor any details about its behavior after exposure to moisture or steam. Therefore, the water stability is not provided.",10.1021/acs.cgd.5b01307
69,[(Cu2I2)Cu2(C11H7N2O2)4].(DMF)7.4 (H2O)4.6,HELLOW,Water Stability,Not provided,,,"The document does not provide explicit information regarding the water stability of the MOF [(Cu2I2)Cu2(C11H7N2O2)4].(DMF)7.4 (H2O)4.6. There is no mention of its behavior in water or aqueous solutions, nor any statements about its solubility or stability in such environments.",10.1021/acs.cgd.5b01307
70,[Cu2(C11H7N2O2)4].(CH3CN)2,HELLOW,Water Stability,Not provided,,,"The document does not provide specific information regarding the water stability of [Cu2(C11H7N2O2)4].(CH3CN)2. The only relevant sentence is: ""The as-synthesized blue rod-like crystals are insoluble in water and common organic solvents."" However, this does not provide enough information to determine the water stability according to the given rules.",10.1021/acs.cgd.5b01307
71,[InIII(5-Clsal2-trien)]-[MnIICrIII(ox)3] 3 (CH3NO2),HELLOW,Water Stability,Not provided,N/A,,"The document does not provide any specific information regarding the water stability of [InIII(5-Clsal2-trien)]-[MnIICrIII(ox)3] 3 (CH3NO2). There are no mentions of its behavior in water or aqueous solutions, nor any details about its stability or instability in humid environments or when exposed to moisture or steam.",10.1021/ic201293f
72,[FeIII-(5-Brsal2-trien)][MnIICrIII(ox)3],HELLOW,Water Stability,Not provided,N/A,,"The document does not provide any specific information regarding the water stability of [FeIII-(5-Brsal2-trien)][MnIICrIII(ox)3]. There are no mentions of solubility, changes in properties, or structural integrity upon exposure to water or moisture.",10.1021/ic201293f
73,[FeIII(5-Clsal2-trien)][MnIICrIII(ox)3] 3 0.5(CH3NO2),HELLOW,Water Stability,Not provided,N/A,,Not provided,10.1021/ic201293f
74,[[Cd(bpdc)(bpNDI)].4.5H2O.DMF]n,HELLOW,Water Stability,Not provided,N/A,,"The document does not provide explicit information about the water stability of the MOF [[Cd(bpdc)(bpNDI)].4.5H2O.DMF]n. There is no mention of its behavior in water or aqueous solutions, nor any details about its stability or instability in humid environments or when exposed to moisture. The document focuses on other properties and characteristics of the MOF, such as its redox activity, photochromic behavior, and guest encapsulation, but does not address water stability directly.",10.1002/chem.201501614
75,MOF-646,HELLOW,Water Stability,Not provided,,,Not provided,10.1039/c0cc02589e
76,MOF-645,HELLOW,Water Stability,Not provided,N/A,,"The document does not provide any specific information regarding the water stability of MOF-645. There is no mention of its behavior in water or aqueous solutions, nor any details about its stability or instability in humid environments or upon exposure to moisture.",10.1039/c0cc02589e
77,[Cd3K(L1)6(H2O)3](OH)(DMF)4,HELLOW,Water Stability,Not provided,N/A,,"The document does not provide specific information regarding the water stability of the MOF [Cd3K(L1)6(H2O)3](OH)(DMF)4. There are no sentences that discuss its behavior in water or aqueous solutions, nor any mention of its stability or instability in humid environments or when exposed to moisture or steam.",10.1039/c2ce25328c
78,[Cd(L2)2](DMF)(H2O)0.25,HELLOW,Water Stability,Not provided,N/A,,"The document does not provide any specific information regarding the water stability of the MOF [Cd(L2)2](DMF)(H2O)0.25. There are no mentions of its behavior in water or aqueous solutions, nor any statements about its solubility, retention of structure, or changes in properties upon exposure to moisture or steam. Therefore, the water stability is categorized as 'Not provided'.",10.1039/c2ce25328c
79,[Cd2L(H2O)2].solvent,HELLOW,Water Stability,Not provided,N/A,,"The document does not provide specific information regarding the water stability of the MOF [Cd2L(H2O)2].solvent. There is no mention of its behavior in water or aqueous solutions, nor any indication of its stability or instability when exposed to moisture or steam. The document focuses on the synthesis, structural analysis, and properties like second-order nonlinear optical and fluorescent properties, but does not address water stability.",10.1016/j.inoche.2013.12.022
80,dia-MOF 2d,HELLOW,Water Stability,Not provided,N/A,,"The document does not provide specific information regarding the water stability of dia-MOF 2d. There is no mention of its behavior in water or aqueous solutions, nor any details about its solubility or structural changes upon exposure to moisture or steam.",10.1021/acs.cgd.5b01601
81,dia-MOF 2c,HELLOW,Water Stability,Not provided,N/A,,"The document does not provide specific information regarding the water stability of dia-MOF 2c. There is no mention of its solubility, retention of porous structure, or changes in properties after exposure to water or humidity. The document focuses on other aspects such as crystallography and synthesis conditions, but does not address water stability directly.",10.1021/acs.cgd.5b01601
82,dia-MOF 2b,HELLOW,Water Stability,Not provided,N/A,,"The document does not provide specific information regarding the water stability of dia-MOF 2b. There is no mention of its solubility, retention of porous structure, or changes in properties after exposure to water or humidity. The document focuses on the synthesis, crystallography, and other properties of the MOFs, but does not address water stability directly.",10.1021/acs.cgd.5b01601
83,lon-MOF 1d,HELLOW,Water Stability,Not provided,,,"The document does not provide specific information regarding the water stability of lon-MOF 1d. There are no sentences that explicitly mention its behavior in water or aqueous solutions, nor any details about its solubility or structural changes upon exposure to moisture or water.",10.1021/acs.cgd.5b01601
84,lon-MOF 1c,HELLOW,Water Stability,Not provided,N/A,,The document does not provide specific information regarding the water stability of lon-MOF 1c. There are no sentences indicating whether it is stable or unstable in water or aqueous solutions.,10.1021/acs.cgd.5b01601
85,lon-MOF 1b,HELLOW,Water Stability,Not provided,N/A,,"The document does not provide specific information regarding the water stability of lon-MOF 1b. There are no sentences that directly address its behavior in water or aqueous solutions, nor any mention of its solubility or structural changes upon exposure to moisture or water.",10.1021/acs.cgd.5b01601
86,dia-MOF 2a,HELLOW,Water Stability,Not provided,N/A,,"The document does not provide specific information regarding the water stability of dia-MOF 2a. There is no mention of its solubility, retention of porous structure, or changes in properties after exposure to water or humidity. The document focuses on other properties such as thermal stability and mechanical properties, but these do not pertain to water stability.",10.1021/acs.cgd.5b01601
87,lon-MOF 1a,HELLOW,Water Stability,Not provided,N/A,,"The document does not provide specific information regarding the water stability of lon-MOF 1a. There is no mention of its behavior in water or aqueous solutions, nor any details about its solubility or structural changes upon exposure to moisture or water. The document focuses on other properties such as thermal stability and hardness, but these do not pertain to water stability.",10.1021/acs.cgd.5b01601
88,Cu5[Rh(i-Nic)4Cl2]2(i-Nic)2(OH)22H2O,HELLOW,Water Stability,Not provided,N/A,,"The document does not provide specific information regarding the water stability of Cu5[Rh(i-Nic)4Cl2]2(i-Nic)2(OH)2 2H2O. There is no mention of its solubility, retention of structure, or change in properties upon exposure to water or humidity.",10.1016/j.molstruc.2012.05.068
89,[Ag(L424)(CF 3COO)](H 2O) (1*CF3COO),HELLOW,Water Stability,Not provided,N/A,,"Notably, the crystal morphology can be well retained during this procedure, indicating a SC–SC transformation. The resulting colorless crystals of 1NO2 or 1CF3COO were analyzed by single-crystal X-ray diffraction, and the anion-exchange products were also confirmed by powder X-ray diffraction (PXRD, Fig. 2) and IR (Fig. S4, ESI‡).",10.1039/c6cc05938d
90,[Ag(L424)(NO 2)](H 2O)1.5(1*NO 2),HELLOW,Water Stability,Stable,Not applicable,,"The anion-exchange performance of 1NO3 was illustrated by using NO2 and CF3COO as the models. Since crystalline 1NO3 is stable in water and organic solvents, we selected the appropriate single crystals of 1NO3 with similar shapes and sizes, and immersed them in a water solution of NaNO2 or NaCF3COO for anion-exchange (Fig. S3, ESI‡). Notably, the crystal morphology can be well retained during this procedure, indicating a SC–SC transformation. The resulting colorless crystals of 1NO2 or 1CF3COO were analyzed by single-crystal X-ray diffraction, and the anion-exchange products were also confirmed by powder X-ray diffraction (PXRD, Fig. 2) and IR (Fig. S4, ESI‡). For 1NO2, the unit cell and space group of crystals are quite similar to those for 1NO3. As a result, the topological network and 3-fold interpenetrated framework are maintained (Fig. S5, ESI‡).",10.1039/c6cc05938d
91,[Ag(L424)(H 2O)](NO 3)(1*NO 3),HELLOW,Water Stability,Stable,N/A,,"""Since crystalline 1NO3 is stable in water and organic solvents, we selected the appropriate single crystals of 1NO3 with similar shapes and sizes, and immersed them in a water solution of NaNO2 or NaCF3COO for anion-exchange (Fig. S3, ESI‡). Notably, the crystal morphology can be well retained during this procedure, indicating a SC–SC transformation.""",10.1039/c6cc05938d
