,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,MOF Name,Ref Code,Application,Recommendation,Justification,Source,Original Application Name
70,70,70.0,70,[Cd3(LMe)2(DMF)3][Cd3(LMe)2(DMF)2(H2O)]·5DMF·3.5H2O<|>complex 2,XOTSIK,Hydrogen Storage,Investigated,"The results show that complex 2 at 77 K takes up a defined amount of hydrogen 76.4 cm3g–1 (0.68 wt %), which is slightly higher than that of complex 1.",10.1021/cg501425x,Hydrogen storage
71,71,71.0,71,[Cd3(LMe)2(DMF)3][Cd3(LMe)2(DMF)2(H2O)]·5DMF·3.5H2O<|>complex 2,XOTSIK,Carbon Capture,Investigated,"However, the uptake value of carbon dioxide is 20.5 cm3g–1 at 273 K, which is lower than that of complex 1.",10.1021/cg501425x,Carbon dioxide storage
80,80,80.0,80,1<|>compound 1,ASOYOY,Sensors,Investigated,"The document mentions ""A Water-Stable Metal–Organic Framework with a Double-Helical Structure for Fluorescent Sensing"" indicating that the MOF is being investigated for this application. However, there is no explicit recommendation provided regarding its effectiveness.",10.1021/acs.inorgchem.6b00935,Fluorescent Sensing
82,82,82.0,82,{Na2[Cd(odpa)(H2O)]}(n1)<|>compound 1,COMGIV,Photoluminescence,Recommended,Compounds 1 and 3 display luminescent properties and may be potential candidates for blue luminescent materials.,10.1021/cg8003257,Blue luminescent materials
83,83,83.0,83,{Na2[Cd3(odpa)2(H2O)5]·1.5H2O}(n3)<|>compound 3,COMGUH,Photoluminescence,Recommended,Compounds 1 and 3 display luminescent properties and may be potential candidates for blue luminescent materials.,10.1021/cg8003257,Blue luminescent materials
93,93,93.0,93,LiH(l-C4H4O6)<|>1,UNIROZ,Energy Storage,Not Recommended,"Inspection of the Cambridge Structural Database yields three previously reported structures of lithium tartrates, all of which contain waters of hydration. We expect that such compounds would be unsuitable for applications such as energy storage, as previous studies have shown that increasing hydration correlates with decreasing thermal stability.",10.1021/cg101170k,Energy storage
102,102,102.0,102,Tm(BDC)1.5(H2O)·0.5DMF·C2H5OH·2H2O<|>complex 6,IJASES01,Catalysis,Investigated,"Considering that complex 6 has large channels and high thermal stability, the Lewis acid-catalyzed reaction of carbonyl compounds with cyanide was carried out to test its catalytic property. The sample of 6 was activated at 200 °C under vacuum for 5 h before the catalytic test. Complex 6 showed moderate activity in the cyanosilylation of benzaldehyde and 57.4% conversion was reached in 5 h.",10.1021/cg400531j,Catalysis
118,118,118.0,118,[Zn2(d-cam)2(Lb)2]·(H2O)5<|>5,AHINIP,Optical Devices,Investigated,"Considering that complexes 3−5 crystallize in the chiral space groups, nonlinear optical properties of these d10 metal complexes in this work are investigated. Preliminary experimental results show that 3, 4, and 5 are SHG-active and the SHG efficiency is approximately 0.5, 0.5, and 0.2 times that of urea, respectively, which is consistent with their noncentric frameworks.",10.1021/ic802445q,Nonlinear optical properties
123,123,123.0,123,[Zn(Me4BPZ)]<|>Species 1,HIQPII,Hydrogen Storage,Investigated,"Their success was initially catalyzed by the advantages they possess as hydrogen storage materials in terms of regularity, designability, and versatility with respect to conventional, natural and synthetic, inorganic compounds.",10.1021/cg400495w,Hydrogen storage
128,128,128.0,128,[TbAg(Hbic)2(C2O4)H2O]·2H2O<|>complex 3,QURYUY,Photoluminescence,Investigated,"The document states, ""The rational design and construction of heterometallic complexes containing both lanthanide and transition metals have attracted tremendous investigation, not only because of their fascinating topology and intriguing architectures but also due to their potential applications in magnetism, luminescence, adsorption, sensors, and bimetallic catalysis.""",10.1021/cg900571v,Luminescence
129,129,129.0,129,[SmCu(Hbic)3(C2O4)0.5]·H2O<|>complex 4,QURZAF,Photoluminescence,Investigated,"The rational design and construction of heterometallic complexes containing both lanthanide and transition metals have attracted tremendous investigation, not only because of their fascinating topology and intriguing architectures but also due to their potential applications in magnetism, luminescence, adsorption, sensors, and bimetallic catalysis.",10.1021/cg900571v,Luminescence
139,139,139.0,139,[Cd(trz)Cl]·H2O<|>1·H2O,AVEROJ,Photoluminescence,Investigated,"All of five complexes display intense blue-fluorescent emissions except for 1, which exhibits photoluminescence only in the absence of guest molecules. This phenomenon implies that 1 could be used as a potential guest-responsive photoluminescent material.",10.1021/ic100610t,Photoluminescent material
140,140,140.0,140,MTAF-1<|>Porous Double-Walled Metal Triazolate Framework,BAWROI,Carbon Capture,Recommended,"The document mentions ""Porous Double-Walled Metal Triazolate Framework Based upon a Bifunctional Ligand and a Pentanuclear Zinc Cluster Exhibiting Selective CO2 Uptake.""",10.1021/ic3002256,CO2 uptake
141,141,141.0,141,"α-Cd2(μ3-OH)2(2,4-pyda)<|>2",FODGUB02,Light Emitting Diodes,Recommended,"In the solid state, 2 and 3 exhibit intense photoluminescence upon photoexcitation at 325 nm. The emissions of 2 (λmax= 425 nm) and 3 (λmax= 420 nm) may be assigned as ligand-to-metal charge transfer (LMCT); a similar emission band at about 430 nm has also been observed previously for other Zn(II) or Cd(II) cluster-based coordination polymers with aromatic carboxylate ligands. Moreover, thermogravimetric analysis (TGA) performed on the polycrystalline samples of 2 and 3 indicates that they are thermally stable up to 340−350 °C. They may be good candidates for blue-light emitting materials due to their highly thermal stability and insolubility in common solvents.",10.1021/cg049610r,Blue-light emitting materials
142,142,142.0,142,"β-Cd2(μ3-OH)2(2,4-pyda)<|>3",FODGUB01,Light Emitting Diodes,Recommended,"In the solid state, 2 and 3 exhibit intense photoluminescence upon photoexcitation at 325 nm. The emissions of 2 (λmax= 425 nm) and 3 (λmax= 420 nm) may be assigned as ligand-to-metal charge transfer (LMCT); a similar emission band at about 430 nm has also been observed previously for other Zn(II) or Cd(II) cluster-based coordination polymers with aromatic carboxylate ligands. Moreover, thermogravimetric analysis (TGA) performed on the polycrystalline samples of 2 and 3 indicates that they are thermally stable up to 340−350 °C. They may be good candidates for blue-light emitting materials due to their highly thermal stability and insolubility in common solvents.",10.1021/cg049610r,Blue-light emitting materials
144,144,144.0,144,[Zn2(obb)2(DMF)2]·2DMF<|>1-Zn<|>1,HEDCAW,Gas Adsorbent Material,Not Recommended,"It is interesting the flexible framework of 1-Zn and 1-Cu can hardly adsorb any gas, but the rigid framework of 3 exhibits gas selective uptake of CO2 over N2 and CH4.",10.1021/ic300778m,Gas storage and separation
150,150,150.0,150,La(HL)(H2L)(H2O)<|>Complex 1,CIKHAH,Photoluminescence,Investigated,"Eight new lanthanide phosphonates with a 2D framework structure have been synthesized under hydrothermal conditions through adjusting pH. All complexes have been obtained as single phase and exhibit very high thermal stability, and their photoluminescence properties are also discussed. Complexes 1–5 and 7 exhibit ligand-centered blue light emission. Complexes 6 and 8 display Ln-centered red and green luminescence, respectively. Energy transfer studies demonstrate the possible luminescence mechanism.",10.1021/cg400877g,Luminescent materials
151,151,151.0,151,Tb(HL)(H2L)(H2O)<|>Complex 8,CIKFOT,Photoluminescence,Investigated,"Complexes 6 and 8 display Ln-centered red and green luminescence, respectively. Energy transfer studies demonstrate the possible luminescence mechanism.",10.1021/cg400877g,Luminescent materials
153,153,153.0,153,Gd(HL)(H2L)(H2O)<|>Complex 7,CIKFUZ,Photoluminescence,Investigated,Complexes 1–5 and 7 exhibit ligand-centered blue light emission.,10.1021/cg400877g,Luminescent materials
155,155,155.0,155,Sm(HL)(H2L)(H2O)<|>Complex 5,CIKGEK,Photoluminescence,Investigated,"As an attractive class of materials, organic–inorganic complexes based on metal phosphonates have received considerable attention over the last two decades due to their potential applications in ion exchange, sensor devices, catalysis, magnetic, and luminescent materials.",10.1021/cg400877g,Luminescent materials
159,159,159.0,159,γ-Mg-formate<|>γ-[Mg3(O2CH)6],OTAXOX,Carbon Capture,Recommended,γ-Mg-formate outperforms the α and β polymorph with respect to CO2 and H2 uptake. This work may provide a potential way of using the in situ formate anion generation method for the design and synthesis of new MOFs.,10.1021/ic102057p,Carbon dioxide capture
160,160,160.0,160,γ-Mg-formate<|>γ-[Mg3(O2CH)6],OTAXOX,Hydrogen Storage,Recommended,γ-Mg-formate outperforms the α and β polymorph with respect to CO2 and H2 uptake. This work may provide a potential way of using the in situ formate anion generation method for the design and synthesis of new MOFs.,10.1021/ic102057p,Hydrogen storage
161,161,161.0,161,[Cu((S)-imp)2]∞<|>compound 2,WUWVIU,Optical Devices,Not Recommended,"Although the noncentrosymmetry of the MOFs suggests that these compounds may serve as NLO materials; however, their very weak SHG intensities versus KDP indicated that these MOFs are not the right choice for such materials.",10.1021/cg1001368,Nonlinear Optical (NLO) materials
173,173,173.0,173,MIL-79<|>Eu(III)5(OH)9(H2O)6(O2C−C2H2−CO2)3·9.5H2O,EBOJOV,Photoluminescence,Investigated,"This paper deals with the synthesis, and the structure from either X-ray powder or crystal data, of two new three-dimensional open framework europium(III) carboxylates with unusual one-dimensional inorganic networks: MIL-79 or Eu(III)5(OH)9(H2O)6(O2C−C2H2−CO2)3·9.5H2O, and MIL-80 or EuIII4(OH)4(H2O)5(O2C−C2H2−CO2)4·4H2O. The structure determination of both solids as well as the thermal behavior and the luminescence properties of the yttrium(III) form of MIL-79 doped with europium(III) are reported.",10.1021/cm035045o,Luminescence
179,179,179.0,179,Cu9(4-TBA)10(C2H5OH)2<|>Cu-TBA-1,OYIVEY,Hydrogen Storage,Investigated,One of the major reasons for MOF research is the expectation of achieving the U.S. Department of Energy (DoE) targets on H2 storage for on-board and vehicular applications.,10.1021/cm2004352,Hydrogen storage
180,180,180.0,180,Cu2(4-TBA)2(DMF)(C2H5OH)<|>Cu-TBA-2,OYIVIC,Hydrogen Storage,Recommended,"At 760 Torr and 77 K, Cu-TBA-1 and -2 adsorbs 1.16 and 1.54 wt % H2... The difference between the H2 uptakes of Cu-TBA-1 and -2 is well anticipated as small pores of Cu-TBA-2 are more suitable for H2 adsorption which is well supported by previous reports.",10.1021/cm2004352,Hydrogen storage
181,181,181.0,181,Cu2(2-F-4-TBA)2(DMF)2<|>Cu-TBA-2F,OYIVOI,Hydrogen Storage,Not Recommended,"Direct comparison between iso-structural partially fluorinated Cu-TBA-2F and nonfluorinated Cu-TBA-2 suggested that enhancement of H2 adsorption due to fluorination in MOFs is not an universal phenomenon, but it is rather system specific and can differ from system to system. Based on the simulation, protruding fluorine atoms from 2-F-4-TBA appear to cause a steric hindrance and a lower adsorption for H2.",10.1021/cm2004352,Hydrogen storage
187,187,187.0,187,{SmAg(C14H12N2O13)}<|>Compound 4,HUTRIY,Photoluminescence,Investigated,"The studies of luminescent properties show the typical luminescence of Sm3+(4), Eu3+(5), Tb3+(7), and Dy3+(8) ions in the visible region and indicate the efficient energy transfer from the CAM chromophore to lanthanide ions.",10.1021/ic901291b,Luminescent materials
189,189,189.0,189,{GdAg3(C14H6N2O11)}<|>Compound 6,HUTRUK,Magnetic Material,Recommended,Magnetic studies reveal that the ferromagnetic interaction appears among Gd3+ ions in 6. The investigation of this series of Ln−Ag heterometallic frameworks may provide a rational synthetic strategy for the construction of lanthanide−traditional coordination polymer materials with novel luminescent and magnetic properties.,10.1021/ic901291b,Magnetic materials
191,191,191.0,191,{DyAg3(C14H6N2O11)}<|>Compound 8,HUTQOD,Photoluminescence,Investigated,"When 8 is excited at 320 nm, a typical Dy3+ emission spectrum in the visible region exists. Two dominant bands at 484 and 576 nm correspond to 4F9/2→6H15/2 and 4F9/2→6H13/2, respectively. The luminescent investigations on the four compounds (4, 5, 7, and 8) mentioned above suggest that H3CAM can effectively sensitize the luminescence of Sm3+, Eu3+, Tb3+, and Dy3+ ions.",10.1021/ic901291b,Luminescence
194,194,194.0,194,[Co3(bdc)3(dabco)]<|>1,GOBSUM,Hydrogen Storage,Investigated,"For hydrogen gas, the maximum uptake by 1 at 77 K and 0.93 bar is moderate at 1.00 wt % and is nearly saturated. However, the relatively small pore volume of 1 leads to the density of 51.2 g/L for hydrogen adsorbed in 1. This is 72% of the density of liquid hydrogen at 20 K and 1 bar (71.1 g/L), which supports the idea of storing hydrogen gas through physisorption in porous MOFs.",10.1021/ic800274w,Hydrogen storage
213,213,213.0,213,{[Cd4(hbhdpy)2(bdc)3(DMA)2]·(H2O)4}<|>compound 1<|>1,ACURUO,Carbon Capture,Recommended,"MOF-1 thereby presents segmented pores, rich acylamide groups, and potential metal open sites for selective CO2 uptake over CH4/N2... Obviously, our studies also prove that interpenetration can be an effective means to boost the stability of MOF structures as well as to render proper pore sizes and rich acylamide groups as well as potential metal open sites for guest separation...",10.1021/acsami.6b14051,CO2 capture and separation
216,216,216.0,216,Cd5X2(N3)4(btz)2<|>2<|>3,ENEZON,Photoluminescence,Recommended,The studies of TGA and luminescence reveal that the frameworks of complexes 1−6 exhibit high stability and may be potential candidates as luminescence materials.,10.1021/cg100467p,Luminescence materials
219,219,219.0,219,{[Cd­(bpe)0.5(bdc)­(H2O)]·EtOH}(n1)<|>compound 1,ILIQEB,Gas Adsorbent Material,Recommended,"The desolvated framework shows preferential adsorption of O2 over N2 at 77 K, and this property makes it a promising material for N2/O2 separation.",10.1021/acs.inorgchem.5b02873,N2/O2 separation
220,220,220.0,220,{[Cd­(bpe)0.5(bdc)­(H2O)]·EtOH}(n1)<|>compound 1,ILIQEB,Carbon Capture,Investigated,"The CO2 adsorption isotherm at 195 K shows a two-step adsorption process, which again reveals the flexible characteristics of the framework.",10.1021/acs.inorgchem.5b02873,CO2 adsorption
225,225,225.0,225,[Gd(C2O4)(H2O)3Cl]<|>complex 2<|>2,SOQVIF,Magnetic Refrigeration,Recommended,"""The large magnetization values and significant temperature-dependency indicate that they may be promising candidates for cryogenic magnetic refrigeration."" Additionally, ""Both complexes can compare favorably with the recently reported molecule-based magnetic coolants (Table), and 2 exhibits the largest MCE value in 2D complexes especially when considered from the volumetric aspect. Their MCE values are further demonstrated by the ΔTad (Supporting Information, Figure S6), namely, up to 12.4 K for 1 and 16.9 K for 2, respectively, showing the promising efficiency toward cryogenic applications.""",10.1021/ic501013x,Cryogenic magnetic refrigeration
230,230,230.0,230,Zn24<|>compound 1,YEZFIU,Carbon Capture,Investigated,"The document discusses ""Multipoint Interactions Enhanced CO2 Uptake: A Zeolite-like Zinc–Tetrazole Framework with 24-Nuclear Zinc Cages"" and mentions ""H2, CH4, and CO2 sorption isotherms"" with a focus on ""Distribution of CO2 adsorption sites.""",10.1021/ja3063138,CO2 uptake
238,238,238.0,238,NJU-Bai32,UDEGIW,Carbon Capture,Recommended,"The document mentions ""Highly Selective CO2 Adsorption"" and provides details on ""Low pressure gases adsorption isotherms and the dual-site Langmuir–Freundlich (DSLF) fit lines of CO2 and N2 in NJU-Bai32 at 298 K."" Additionally, it highlights the ""IAST predicted selectivity of CO2 over N2,"" indicating that NJU-Bai32 is recommended for CO2 adsorption.",10.1021/acs.cgd.6b01484,CO2 adsorption
239,239,239.0,239,{[Cu2(BDDC)(H2O)2]·DMF·3H2O}n,RUVKAV,Hydrogen Storage,Investigated,"High-pressure hydrogen sorption studies show excess and total H2 uptake as high as 3.98 and 4.60 wt %, respectively, at 77 K and 17 bar.",10.1021/cg100046j,Hydrogen storage
243,243,243.0,243,NH4@ZnPzC<|>NH4·Zn3OH­(PzC)3,YATDUV,Carbon Capture,Investigated,"In particular, NH4@ZnPzC and the cation-exchanged materials have been investigated toward selective adsorption of CO2 over N2.",10.1021/acs.cgd.7b00346,CO2/N2 separation
244,244,244.0,244,[Eu2L3(DMSO)2(MeOH)2]·2DMSO·3H2O<|>compound 1,NOFHOG,Sensors,Investigated,"Such luminescence signal modulations have been demonstrated by the preliminary iodine binding experiments. Although iodine-sensing is not of much practical significance, the experiments do suggest the possibility of using 1 as a luminescent sensor, where the linker group of the ligand is possibly the binding site.",10.1021/ic800394g,Luminescent sensor
249,249,249.0,249,[Cd(L1)(L5)]∞<|>4,MEFJUD,Light Emitting Diodes,Investigated,Those complexes may be used as a potential material for blue-light emitting diode devices and may be an candidate for thermally stable and solvent-resistant blue fluorescent material.,10.1021/cg050336q,Blue-light emitting diode devices
282,282,282.0,282,Cu-3<|>Cu-3·MeCN,ECEVIS,Pollutant Removal,Recommended,"""Moreover, we demonstrate that one of the structures, Cu-3, can be used to remove benzene from contaminated water."" ""Framework Cu-3 was effective at removing benzene from D2O as monitored by 1H NMR spectroscopy. A short treatment of the polluted water reduced the dissolved benzene concentration from 0.8 to <0.01 mg mL-1.""",10.1021/ic052123w,Environmental remediation
284,284,284.0,284,{[Cd(H2O)6]·[Dy2(ODA)6Cd2]·mH2O}<|>3a,KOMJED,Photoluminescence,Investigated,"Furthermore, complexes 2e, {[Dy2(ODA)6Cd3(H2O)6]·3H2O}, and n3a, {[Cd(H2O)6]·[Dy2(ODA)6Cd2]·6H2O}, could be termed framework isomers owing to the different conformations of the lanthanide metalloligand, which is a rare example of a 3D d–f HMOF.",10.1021/ic403080n,Luminescence
300,300,300.0,300,Cd6(X)3(H2O)6·Guest<|>Compound 1,AROFAP,Carbon Capture,Recommended,The selective adsorption of CO2 over CH4 in 1 could be ascribed to the higher quadrupole moment and polarizability of CO2 compared to CH4. These gas adsorption results imply complex 1 holds great potential for CO2/CH4 and CO2/N2 separation applications.,10.1021/cg101222w,CO2/CH4 and CO2/N2 separation
313,313,313.0,313,1-MeCN<|>Ni(NCS)2(4-(Boc-amino)pyridine)2·MeCN,SAWKUZ,Small Molecule Capture,Investigated,"The potential microporosity of the ansolvate 1 was investigated by nitrogen sorption measurements at 77 K (Figure). A reversible type I sorption behavior revealed a BET surface area of 376 m2g–1 and a micropore volume of 0.166 cm3g–1 (determined at p/p0= 0.5), indicating its microporous nature. Such materials might have potential applications in small molecule storage and separation.",10.1021/acs.inorgchem.7b00721,Small molecule storage and separation
317,317,317.0,317,[CuL2]·xDMA·yH2O<|>3<|>3a,PAMHIW,Hydrogen Storage,Investigated,The hydrogen storage capability of 3a is close to those of 1a and 2a (Figure). The hydrogen uptake amount on 3a was 2.36 wt % at 77 K and 1 bar. The isosteric heat of adsorption calculated from the H2 isotherms at 77 and 87 K using the virial method is in the range 7.24–6.25 kJ mol–1 for 3a (coverage of 0.02–1.68 wt % H2 uptake) depending on the degree of H2 loading (Figure b).,10.1021/cg200983y,Hydrogen storage
347,347,347.0,347,Fe-soc-MOF-1a<|>compound 1a,IZENUY,Hydrogen Storage,Recommended,"Our results reveal that Fe-based soc-MOFs exhibit exceptional H2 uptake capacities and stronger H2–MOF interactions at low loading, as compared to the In analogues.",10.1021/acs.chemmater.6b02817,Hydrogen storage
376,376,376.0,376,[Eu2(ADB)3(DMSO)4·6DMSO·8H2O]<|>compound 9,ALUKUO,Optical Devices,Investigated,"Compound 6 shows a EuIII characteristic red luminescence, which has potential application in optical devices.",10.1021/ic902194g,Optical devices
384,384,384.0,384,CPO-68-Mn,RUZCAS,Solar Energy Harvesting,Investigated,"From our theoretical adsorption simulation and from experimental study we conclude that the CPO-68/69 CPs are not suitable candidates for gas adsorption applications and that they are nonporous at all pressures. On the other hand, based on the magnitude of the band gap as well as the high stability, these CPs might have potential application in the photovoltaics industry. More research is needed in this direction.",10.1021/acs.cgd.5b01302,Photovoltaics
385,385,385.0,385,CPO-68-Co,RUZCEW,Solar Energy Harvesting,Investigated,"From our theoretical adsorption simulation and from experimental study we conclude that the CPO-68/69 CPs are not suitable candidates for gas adsorption applications and that they are nonporous at all pressures. On the other hand, based on the magnitude of the band gap as well as the high stability, these CPs might have potential application in the photovoltaics industry. More research is needed in this direction.",10.1021/acs.cgd.5b01302,Photovoltaics
386,386,386.0,386,CPO-69-Cd,RUZCOG,Solar Energy Harvesting,Investigated,"From our theoretical adsorption simulation and from experimental study we conclude that the CPO-68/69 CPs are not suitable candidates for gas adsorption applications and that they are nonporous at all pressures. On the other hand, based on the magnitude of the band gap as well as the high stability, these CPs might have potential application in the photovoltaics industry. More research is needed in this direction.",10.1021/acs.cgd.5b01302,Photovoltaics
387,387,387.0,387,CPO-68-Zn,RUZBUL,Solar Energy Harvesting,Investigated,"From our theoretical adsorption simulation and from experimental study we conclude that the CPO-68/69 CPs are not suitable candidates for gas adsorption applications and that they are nonporous at all pressures. On the other hand, based on the magnitude of the band gap as well as the high stability, these CPs might have potential application in the photovoltaics industry. More research is needed in this direction.",10.1021/acs.cgd.5b01302,Photovoltaics
393,393,393.0,393,{[CuII(btz)]·0.5H2O}(n1)<|>1a<|>1,CAYDEN,Iodine Capture,Investigated,"Taking the numerous nitrogen atoms exposed in the channel of 1 into account, the I2-loading experiment was conducted and the locations of the I2 molecules were clearly determined by single-crystal diffraction.",10.1021/ic2023105,I2 adsorption
394,394,394.0,394,{[CuII(btz)]·0.5I2}(n1′·0.5I)<|>1′·0.5I,CAYDUD,Iodine Capture,Investigated,"Importantly, the 3D framework in 1′ with two types of channels may absorb I2 molecules to form 1′·0.5I, and the locations of the guest I2 molecules in 1′·0.5I are structurally determined.",10.1021/ic2023105,I2 adsorption
396,396,396.0,396,C6H9N8O1.5Cu<|>1b,CAYDIR,Iodine Capture,Investigated,"Importantly, the 3D framework in 1′ with two types of channels may absorb I2 molecules to form 1′·0.5I, and the locations of the guest I2 molecules in 1′·0.5I are structurally determined.",10.1021/ic2023105,I2 Adsorption
401,401,401.0,401,[Gd(azdc)(HCOO)]<|>1,CUHYUB,Magnetic Refrigeration,Recommended,"The MCE value of 1 is 1.5 times as large as that of 1′. More importantly, 1 demonstrates significant stabilities toward air, thermal, solvent, and acid/alkaline conditions.",10.1021/acs.inorgchem.5b00797,Magnetic refrigeration
410,410,410.0,410,{[Ag2(L)12(NDS)]·3H2O}<|>compound 1,YOTVUA,Optical Devices,Investigated,"Moreover, all of these complexes exhibit solid-state photoluminescence in the green region at room temperature, which suggests that they may be good candidates for optical materials.",10.1021/cg500898c,Optical materials
414,414,414.0,414,[In2(OH)2(TBAPy)]·(guests)<|>1<|>1′<|>1a,XAJQAC,Sensors,Investigated,"Fluorescent MOFs are of great interest for potential applications as sensors for small molecules, for their use as light-emitting diodes, and in medical diagnostics and cell biology.",10.1021/ja906041f,Sensors for small molecules
415,415,415.0,415,[In2(OH)2(TBAPy)]·(guests)<|>1<|>1′<|>1a,XAJQAC,Light Emitting Diodes,Investigated,"Fluorescent MOFs are of great interest for potential applications as sensors for small molecules, for their use as light-emitting diodes, and in medical diagnostics and cell biology.",10.1021/ja906041f,Light-emitting diodes
428,428,428.0,428,ZJU-199<|>ZJU-199a,AYOQEM,Hydrocarbon Separation,Recommended,"With high density of open metal sites and suitable pore sizes, the activated ZJU-199a takes a much higher amount of C2H2 uptake than those of CO2 and CH4, exhibiting highly selective separation for C2H2/CO2 and C2H2/CH4 at room temperature.",10.1021/acs.cgd.6b01382,C2H2/CH4 and C2H2/CO2 separation
