,MOF Name,Ref Code,Property,Value,Units,Condition,Summary,Reference
42,[Ag(CM-TTF)(CF3SO3)]<|>complex 2,FEKDAA,Bond Angle S(2)–Ag–O(1),96.1,degrees,N/A,S(2)–Ag–O(1) 96.1(2),10.1039/a804945i
43,[Ag(CM-TTF)(CF3SO3)]<|>complex 2,FEKDAA,Bond Angle S(2)–Ag–N(1),162.7,degrees,N/A,S(2)–Ag–N(1) 162.7(2),10.1039/a804945i
44,[Ag(CM-TTF)(CF3SO3)]<|>complex 2,FEKDAA,Bond Angle S(2)–Ag–N(2),93.6,degrees,N/A,S(2)–Ag–N(2) 93.6(2),10.1039/a804945i
45,[Ag(CM-TTF)(CF3SO3)]<|>complex 2,FEKDAA,Bond Angle O(1)–Ag–N(1),101.0,degrees,N/A,O(1)–Ag–N(1) 101.0(2),10.1039/a804945i
46,[Ag(CM-TTF)(CF3SO3)]<|>complex 2,FEKDAA,Bond Angle N(1)–Ag–N(2),91.1,degrees,N/A,N(1)–Ag–N(2) 91.1(2),10.1039/a804945i
47,[Ag(CM-TTF)(CF3SO3)]<|>complex 2,FEKDAA,Bond Angle O(1)–Ag–N(2),83.8,degrees,N/A,O(1)–Ag–N(2) 83.8(2),10.1039/a804945i
48,[Ag(CM-TTF)(CF3SO3)]<|>complex 2,FEKDAA,ESR g Value,2.007,N/A,Room temperature,The ESR spectrum of complex 2 consists of a broad asymmetric line at g = 2.007.,10.1039/a804945i
49,[Ag(CM-TTF)(CF3SO3)]<|>complex 2,FEKDAA,Spin Density,0.5,%,Room temperature,The ESR spectrum of complex 2 consists of a broad asymmetric line at g = 2.007. Upon exposure to air the intensity of the signal decreases and the linewidth increases while the g value remains virtually constant.,10.1039/a804945i
50,[Ag(CM-TTF)(CF3SO3)]<|>complex 2,FEKDAA,Conductivity,Non-conductive,N/A,Room temperature,The complex is found to be an insulator even after long exposure to air.,10.1039/a804945i
51,[Ag(CM-TTF)(CF3SO3)]<|>complex 2,FEKDAA,UV/VIS Absorption,"430, 520",nm,N/A,"2 1419 430, 520 2.007 0.5 Non-conductive * 2.007 0.5 Non-conductive",10.1039/a804945i
52,C9H12CaO10<|>calcium trimesate synthesized by one-pot self-assembly reaction,OWZEW01,Molecular Formula,C9H12CaO10,none,none,The molecular formula of the calcium trimesate synthesized by one-pot self-assembly reaction is found as C9H12CaO10.,10.1016/j.molstruc.2017.11.128
53,C9H12CaO10<|>calcium trimesate synthesized by one-pot self-assembly reaction,OWZEW01,molecular weight,320.27,g/mol,none,The molecular weight is 320.27 g/mol.,10.1016/j.molstruc.2017.11.128
54,C9H12CaO10<|>calcium trimesate synthesized by one-pot self-assembly reaction,OWZEW01,Asymmetric Unit Composition,"Ca (II) ion, trimesic acid ligand, four coordinated water molecules",none,none,"The asymmetric unit contains a Ca (II) ion, a trimesic acid ligand and four coordinated water molecules.",10.1016/j.molstruc.2017.11.128
55,C9H12CaO10<|>calcium trimesate synthesized by one-pot self-assembly reaction,OWZEW01,Coordination Geometry,Ca1 atom coordinated to three oxygen atoms from trimesic acid ligands and four oxygen atoms from water molecule,none,none,The Ca1 atom is coordinated to three oxygen atoms coming from three different trimesic acid ligands and four oxygen atoms coming from the water molecule.,10.1016/j.molstruc.2017.11.128
56,C9H12CaO10<|>calcium trimesate synthesized by one-pot self-assembly reaction,OWZEW01,Coordination Mode,μ2-bridge,none,none,Trimesic acid ligand has μ2-bridge coordination mode.,10.1016/j.molstruc.2017.11.128
57,C9H12CaO10<|>calcium trimesate synthesized by one-pot self-assembly reaction,OWZEW01,Ca-Ca Distance,"5.991, 9.632, 11.280",Å,none,"The distances between neighboring Ca (II) ions are 5.991 Å, 9.632 Å and 11.280 Å.",10.1016/j.molstruc.2017.11.128
58,C9H12CaO10<|>calcium trimesate synthesized by one-pot self-assembly reaction,OWZEW01,Ca-Owater Bond Lengths,2.3623 to 2.4778,Å,none,Ca-Owater bond lengths vary between 2.3623 (10) and 2.4778 (11) Å.,10.1016/j.molstruc.2017.11.128
59,C9H12CaO10<|>calcium trimesate synthesized by one-pot self-assembly reaction,OWZEW01,Ca-Ocarboxyl Bond Lengths,2.3214 to 2.4666,Å,none,Ca-Ocarboxyl bond lengths vary between 2.3214 (9) and 2.4666 (10) Å.,10.1016/j.molstruc.2017.11.128
60,C9H12CaO10<|>calcium trimesate synthesized by one-pot self-assembly reaction,OWZEW01,Hydrogen Storage Capacity,0.066,%,"one-pot self-assembly reaction, 77 K, 1 bar pressure",Experimental hydrogen storage capacity of calcium trimesate was found to be 0.066% in one-pot self-assembly reaction.,10.1016/j.molstruc.2017.11.128
61,C9H12CaO10<|>calcium trimesate synthesized by one-pot self-assembly reaction,OWZEW01,surface area,1.36,m2/g,none,The BET surface area of calcium trimesate synthesized by the one-pot self-assembly reaction is 1.36 m2/g.,10.1016/j.molstruc.2017.11.128
62,C9H12CaO10<|>calcium trimesate synthesized by one-pot self-assembly reaction,OWZEW01,crystal system,Monoclinic,none,none,Crystal system | Monoclinic,10.1016/j.molstruc.2017.11.128
63,C9H12CaO10<|>calcium trimesate synthesized by one-pot self-assembly reaction,OWZEW01,space group,P21/c,none,none,Space group | P21/c,10.1016/j.molstruc.2017.11.128
64,C9H12CaO10<|>calcium trimesate synthesized by one-pot self-assembly reaction,OWZEW01,Color,colorless,none,none,Color | colorless,10.1016/j.molstruc.2017.11.128
65,C9H12CaO10<|>calcium trimesate synthesized by one-pot self-assembly reaction,OWZEW01,Unit Cell Dimensions,"a = 10.1977, b = 16.4581, c = 7.4796, β = 102.312","Å, °",none,a (Å) | 10.1977 (7) | b (Å) | 16.4581 (12) | c (Å) | 7.4796 (5) | β (º) | 102.312 (2),10.1016/j.molstruc.2017.11.128
66,C23.5H28.5EuN2.5O10.5<|>complex 2,CIJBEF,chemical formula,C23.5H28.5EuN2.5O10.5,None,None,"""empirical formula C23.5H28.5EuN2.5O10.5""",10.1021/acs.analchem.8b00494
67,C23.5H28.5EuN2.5O10.5<|>complex 2,CIJBEF,Formula Weight,665.95,None,None,"""formula weight 665.95""",10.1021/acs.analchem.8b00494
68,C23.5H28.5EuN2.5O10.5<|>complex 2,CIJBEF,crystal system,Monoclinic,None,None,"""crystal system monoclinic""",10.1021/acs.analchem.8b00494
69,C23.5H28.5EuN2.5O10.5<|>complex 2,CIJBEF,space group,C2/c,None,None,"""space group C2/c""",10.1021/acs.analchem.8b00494
70,C23.5H28.5EuN2.5O10.5<|>complex 2,CIJBEF,Unit Cell Parameter a,28.220,Å,None,"""a/Å 28.220 (5)""",10.1021/acs.analchem.8b00494
71,C23.5H28.5EuN2.5O10.5<|>complex 2,CIJBEF,Unit Cell Parameter b,14.540,Å,None,"""b/Å 14.540 (5)""",10.1021/acs.analchem.8b00494
72,C23.5H28.5EuN2.5O10.5<|>complex 2,CIJBEF,Unit Cell Parameter c,13.394,Å,None,"""c/Å 13.394 (5)""",10.1021/acs.analchem.8b00494
73,C23.5H28.5EuN2.5O10.5<|>complex 2,CIJBEF,Unit Cell Parameter β,100.648,Degrees,None,"""Β (deg) 100.648 (5)""",10.1021/acs.analchem.8b00494
74,C23.5H28.5EuN2.5O10.5<|>complex 2,CIJBEF,cell volume,5401,Å3,None,"""volume (Å3) 5401 (2)""",10.1021/acs.analchem.8b00494
75,C23.5H28.5EuN2.5O10.5<|>complex 2,CIJBEF,density,1.504,g cm–3,None,"""D c (g cm–3) 1.504""",10.1021/acs.analchem.8b00494
76,C23.5H28.5EuN2.5O10.5<|>complex 2,CIJBEF,Temperature,293,K,None,"""T (K) 293 (2)""",10.1021/acs.analchem.8b00494
77,C23.5H28.5EuN2.5O10.5<|>complex 2,CIJBEF,Wavelength,0.71073,Å,None,"""λ (Mo Kα) (Å) 0.71073""",10.1021/acs.analchem.8b00494
78,C23.5H28.5EuN2.5O10.5<|>complex 2,CIJBEF,Reflections Collected,4749,None,None,"""reflections collected 4749""",10.1021/acs.analchem.8b00494
79,C23.5H28.5EuN2.5O10.5<|>complex 2,CIJBEF,Absorption Coefficient,2.370,mm–1,None,"""μ (mm–1) 2.370""",10.1021/acs.analchem.8b00494
80,C23.5H28.5EuN2.5O10.5<|>complex 2,CIJBEF,F(000),2432.0,None,None,"""F(000) 2432.0""",10.1021/acs.analchem.8b00494
81,C23.5H28.5EuN2.5O10.5<|>complex 2,CIJBEF,Final R1 (I > 2σ(I)),0.0449,None,None,"""final R 1 , wR 2 [I > 2σ(I)] 0.0449, 0.1084""",10.1021/acs.analchem.8b00494
82,C23.5H28.5EuN2.5O10.5<|>complex 2,CIJBEF,Final wR2 (I > 2σ(I)),0.1084,None,None,"""final R 1 , wR 2 [I > 2σ(I)] 0.0449, 0.1084""",10.1021/acs.analchem.8b00494
83,C23.5H28.5EuN2.5O10.5<|>complex 2,CIJBEF,Final R1 (all data),0.0491,None,None,"""final R 1 , wR 2 (all data) 0.0491, 0.1119""",10.1021/acs.analchem.8b00494
84,C23.5H28.5EuN2.5O10.5<|>complex 2,CIJBEF,Final wR2 (all data),0.1119,None,None,"""final R 1 , wR 2 (all data) 0.0491, 0.1119""",10.1021/acs.analchem.8b00494
85,C23.5H28.5EuN2.5O10.5<|>complex 2,CIJBEF,Goodness of Fit on F2,1.074,None,None,"""GOF on F 2 1.074""",10.1021/acs.analchem.8b00494
86,C23.5H28.5EuN2.5O10.5<|>complex 2,CIJBEF,UV/vis Absorption,216,nm,In ACN,"""UV/vis [ACN, λ]: 216 nm.""",10.1021/acs.analchem.8b00494
87,C23.5H28.5EuN2.5O10.5<|>complex 2,CIJBEF,IR Absorption,"3471, 3065, 2947, 1696, 1393, 1267, 1168, 1009, 873, 785, 693",cm–1,KBr,"""IR (KBr, cm–1): 3471 (m), 3065 (w), 2947 (m), 1696 (s), 1393 (s), 1267 (m), 1168 (w), 1009 (w), 873 (w), 785 (m), 693 (m).""",10.1021/acs.analchem.8b00494
88,C23.5H28.5TbN2.5O10.5<|>complex 3,CIJBIJ,chemical formula,C23.5H28.5TbN2.5O10.5,None,Not specified,"""empirical formula C23.5H28.5TbN2.5O10.5""",10.1021/acs.analchem.8b00494
89,C23.5H28.5TbN2.5O10.5<|>complex 3,CIJBIJ,Formula Weight,672.91,None,Not specified,"""formula weight 672.91""",10.1021/acs.analchem.8b00494
90,C23.5H28.5TbN2.5O10.5<|>complex 3,CIJBIJ,crystal system,Monoclinic,None,Not specified,"""crystal system monoclinic""",10.1021/acs.analchem.8b00494
91,C23.5H28.5TbN2.5O10.5<|>complex 3,CIJBIJ,space group,C2/c,None,Not specified,"""space group C2/c""",10.1021/acs.analchem.8b00494
92,C23.5H28.5TbN2.5O10.5<|>complex 3,CIJBIJ,Unit Cell Parameter a,28.614,Å,Not specified,"""a/Å 28.614 (5)""",10.1021/acs.analchem.8b00494
93,C23.5H28.5TbN2.5O10.5<|>complex 3,CIJBIJ,Unit Cell Parameter b,14.383,Å,Not specified,"""b/Å 14.383 (5)""",10.1021/acs.analchem.8b00494
94,C23.5H28.5TbN2.5O10.5<|>complex 3,CIJBIJ,Unit Cell Parameter c,13.644,Å,Not specified,"""c/Å 13.644 (5)""",10.1021/acs.analchem.8b00494
95,C23.5H28.5TbN2.5O10.5<|>complex 3,CIJBIJ,Unit Cell Angle β,97.284,Degrees,Not specified,"""Β (deg) 97.284 (5)""",10.1021/acs.analchem.8b00494
96,C23.5H28.5TbN2.5O10.5<|>complex 3,CIJBIJ,cell volume,5570,Å3,Not specified,"""volume (Å3) 5570 (2)""",10.1021/acs.analchem.8b00494
97,C23.5H28.5TbN2.5O10.5<|>complex 3,CIJBIJ,density,1.475,g cm–3,Not specified,"""D c (g cm–3) 1.475""",10.1021/acs.analchem.8b00494
98,C23.5H28.5TbN2.5O10.5<|>complex 3,CIJBIJ,Temperature,293,K,Not specified,"""T (K) 293 (2)""",10.1021/acs.analchem.8b00494
99,C23.5H28.5TbN2.5O10.5<|>complex 3,CIJBIJ,Wavelength,0.71073,Å,Not specified,"""λ (Mo Kα) (Å) 0.71073""",10.1021/acs.analchem.8b00494
100,C23.5H28.5TbN2.5O10.5<|>complex 3,CIJBIJ,Reflections Collected,4901,None,Not specified,"""reflections collected 4901""",10.1021/acs.analchem.8b00494
101,C23.5H28.5TbN2.5O10.5<|>complex 3,CIJBIJ,Absorption Coefficient,2.585,mm–1,Not specified,"""μ (mm–1) 2.585""",10.1021/acs.analchem.8b00494
102,C23.5H28.5TbN2.5O10.5<|>complex 3,CIJBIJ,F(000),2448.0,None,Not specified,"""F(000) 2448.0""",10.1021/acs.analchem.8b00494
103,C23.5H28.5TbN2.5O10.5<|>complex 3,CIJBIJ,Final R1 (I > 2σ(I)),0.0275,None,Not specified,"""final R 1 , wR 2 [I > 2σ(I)] 0.0275, 0.0693""",10.1021/acs.analchem.8b00494
104,C23.5H28.5TbN2.5O10.5<|>complex 3,CIJBIJ,Final wR2 (I > 2σ(I)),0.0693,None,Not specified,"""final R 1 , wR 2 [I > 2σ(I)] 0.0275, 0.0693""",10.1021/acs.analchem.8b00494
105,C23.5H28.5TbN2.5O10.5<|>complex 3,CIJBIJ,Final R1 (all data),0.0330,None,Not specified,"""final R 1 , wR 2 (all data) 0.0330, 0.0743""",10.1021/acs.analchem.8b00494
106,C23.5H28.5TbN2.5O10.5<|>complex 3,CIJBIJ,Final wR2 (all data),0.0743,None,Not specified,"""final R 1 , wR 2 (all data) 0.0330, 0.0743""",10.1021/acs.analchem.8b00494
107,C23.5H28.5TbN2.5O10.5<|>complex 3,CIJBIJ,Goodness of Fit on F2,1.004,None,Not specified,"""GOF on F 2 1.004""",10.1021/acs.analchem.8b00494
108,C23.5H28.5TbN2.5O10.5<|>complex 3,CIJBIJ,Quantum Yield,25.11,%,Not specified,"""The quantum yield and lifetime are 1.28 ms and 25.11%, respectively (Figure S6c).""",10.1021/acs.analchem.8b00494
109,C23.5H28.5TbN2.5O10.5<|>complex 3,CIJBIJ,Luminescence Lifetime,1.28,ms,Not specified,"""The quantum yield and lifetime are 1.28 ms and 25.11%, respectively (Figure S6c).""",10.1021/acs.analchem.8b00494
