,MOF Name,Ref Code,Property,Value,Units,Condition,Summary,Reference
42,C9H12CaO10<|>calcium trimesate synthesized by one-pot self-assembly reaction,OWZEW01,Molecular Weight,320.27,g/mol,Synthesized by one-pot self-assembly reaction,The molecular weight is 320.27 g/mol.,10.1016/j.molstruc.2017.11.128
43,C9H12CaO10<|>calcium trimesate synthesized by one-pot self-assembly reaction,OWZEW01,Asymmetric Unit Composition,"Ca (II) ion, trimesic acid ligand, four coordinated water molecules",N/A,Synthesized by one-pot self-assembly reaction,"The asymmetric unit contains a Ca (II) ion, a trimesic acid ligand and four coordinated water molecules.",10.1016/j.molstruc.2017.11.128
44,C9H12CaO10<|>calcium trimesate synthesized by one-pot self-assembly reaction,OWZEW01,Coordination Geometry,"Three oxygen atoms from trimesic acid ligands, four oxygen atoms from water molecules",N/A,Synthesized by one-pot self-assembly reaction,The Ca1 atom is coordinated to three oxygen atoms coming from three different trimesic acid ligands and four oxygen atoms coming from the water molecule.,10.1016/j.molstruc.2017.11.128
45,C9H12CaO10<|>calcium trimesate synthesized by one-pot self-assembly reaction,OWZEW01,Bond Lengths,"Ca-Owater 2.3623 to 2.4778, Ca-Ocarboxyl 2.3214 to 2.4666",Å,Synthesized by one-pot self-assembly reaction,"Ca-Owater bond lengths vary between 2.3623 (10) and 2.4778 (11) Å, while Ca-Ocarboxyl bond lengths vary between 2.3214 (9) and 2.4666 (10) Å.",10.1016/j.molstruc.2017.11.128
46,C9H12CaO10<|>calcium trimesate synthesized by one-pot self-assembly reaction,OWZEW01,Crystal System,Monoclinic,N/A,Synthesized by one-pot self-assembly reaction,Crystal system | Monoclinic,10.1016/j.molstruc.2017.11.128
47,C9H12CaO10<|>calcium trimesate synthesized by one-pot self-assembly reaction,OWZEW01,Space Group,P21/c,N/A,Synthesized by one-pot self-assembly reaction,Space group | P21/c,10.1016/j.molstruc.2017.11.128
48,C9H12CaO10<|>calcium trimesate synthesized by one-pot self-assembly reaction,OWZEW01,BET Surface Area,1.36,m2/g,Synthesized by one-pot self-assembly reaction,The BET surface area of calcium trimesate synthesized by the one-pot self-assembly reaction is 1.36 m2/g.,10.1016/j.molstruc.2017.11.128
49,C9H12CaO10<|>calcium trimesate synthesized by one-pot self-assembly reaction,OWZEW01,Hydrogen Storage Capacity,0.066,%,"Synthesized by one-pot self-assembly reaction, measured at 77 K and 1 bar pressure",Experimental hydrogen storage capacity of calcium trimesate was found to be 0.066% in one-pot self-assembly reaction.,10.1016/j.molstruc.2017.11.128
50,C9H12CaO10<|>calcium trimesate synthesized by one-pot self-assembly reaction,OWZEW01,Thermal Stability,53.55,%,"Synthesized by one-pot self-assembly reaction, measured at 800 °C",The total mass loss in calcium trimesate synthesized by the one-pot self-assembly reaction was 53.55% while the total mass loss in the ion exchange method was 52.97% at 800 °C.,10.1016/j.molstruc.2017.11.128
51,C23.5H28.5EuN2.5O10.5<|>complex 2,CIJBEF,Empirical Formula,C23.5H28.5EuN2.5O10.5,None,Not specified,empirical formula C23.5H28.5EuN2.5O10.5,10.1021/acs.analchem.8b00494
52,C23.5H28.5EuN2.5O10.5<|>complex 2,CIJBEF,Formula Weight,665.95,None,Not specified,formula weight 665.95,10.1021/acs.analchem.8b00494
53,C23.5H28.5EuN2.5O10.5<|>complex 2,CIJBEF,Crystal System,Monoclinic,None,Not specified,crystal system monoclinic,10.1021/acs.analchem.8b00494
54,C23.5H28.5EuN2.5O10.5<|>complex 2,CIJBEF,Space Group,C2/c,None,Not specified,space group C2/c,10.1021/acs.analchem.8b00494
55,C23.5H28.5EuN2.5O10.5<|>complex 2,CIJBEF,Unit Cell Volume,5401,Å3,Not specified,volume (Å3) 5401 (2),10.1021/acs.analchem.8b00494
56,C23.5H28.5EuN2.5O10.5<|>complex 2,CIJBEF,Density,1.504,g cm–3,Not specified,D c (g cm–3) 1.504,10.1021/acs.analchem.8b00494
57,C23.5H28.5EuN2.5O10.5<|>complex 2,CIJBEF,Temperature,293,K,Not specified,T (K) 293 (2),10.1021/acs.analchem.8b00494
58,C23.5H28.5EuN2.5O10.5<|>complex 2,CIJBEF,Wavelength,0.71073,Å,Not specified,λ (Mo Kα) (Å) 0.71073,10.1021/acs.analchem.8b00494
59,C23.5H28.5EuN2.5O10.5<|>complex 2,CIJBEF,Reflections Collected,4749,None,Not specified,reflections collected 4749,10.1021/acs.analchem.8b00494
60,C23.5H28.5EuN2.5O10.5<|>complex 2,CIJBEF,Absorption Coefficient,2.370,mm–1,Not specified,μ (mm–1) 2.370,10.1021/acs.analchem.8b00494
61,C23.5H28.5EuN2.5O10.5<|>complex 2,CIJBEF,F(000),2432.0,None,Not specified,F(000) 2432.0,10.1021/acs.analchem.8b00494
62,C23.5H28.5EuN2.5O10.5<|>complex 2,CIJBEF,"Final R1, wR2 [I > 2σ(I)]","0.0449, 0.1084",None,Not specified,"final R 1 , wR 2 [I > 2σ(I)] 0.0449, 0.1084",10.1021/acs.analchem.8b00494
63,C23.5H28.5EuN2.5O10.5<|>complex 2,CIJBEF,"Final R1, wR2 (all data)","0.0491, 0.1119",None,Not specified,"final R 1 , wR 2 (all data) 0.0491, 0.1119",10.1021/acs.analchem.8b00494
64,C23.5H28.5EuN2.5O10.5<|>complex 2,CIJBEF,Goodness of Fit on F2,1.074,None,Not specified,GOF on F 2 1.074,10.1021/acs.analchem.8b00494
65,C23.5H28.5EuN2.5O10.5<|>complex 2,CIJBEF,IR Spectrum,"3471 (m), 3065 (w), 2947 (m), 1696 (s), 1393 (s), 1267 (m), 1168 (w), 1009 (w), 873 (w), 785 (m), 693 (m)",cm–1,KBr,"IR (KBr, cm–1): 3471 (m), 3065 (w), 2947 (m), 1696 (s), 1393 (s), 1267 (m), 1168 (w), 1009 (w), 873 (w), 785 (m), 693 (m).",10.1021/acs.analchem.8b00494
66,C23.5H28.5EuN2.5O10.5<|>complex 2,CIJBEF,UV/vis Absorption,216,nm,ACN,"UV/vis [ACN, λ]: 216 nm.",10.1021/acs.analchem.8b00494
67,C23.5H28.5EuN2.5O10.5<|>complex 2,CIJBEF,Quantum Yield,28.36,%,Ex = 368 nm,The lifetime and quantum yield for complex2are τ = 1.25 ms (Ex = 368 nm) and Φ = 28.36%,10.1021/acs.analchem.8b00494
68,C23.5H28.5EuN2.5O10.5<|>complex 2,CIJBEF,Luminescence Lifetime,1.25,ms,Ex = 368 nm,The lifetime and quantum yield for complex2are τ = 1.25 ms (Ex = 368 nm) and Φ = 28.36%,10.1021/acs.analchem.8b00494
69,C23.5H28.5TbN2.5O10.5<|>complex 3,CIJBIJ,Empirical Formula,C23.5H28.5TbN2.5O10.5,None,Not specified,empirical formula C23.5H28.5TbN2.5O10.5,10.1021/acs.analchem.8b00494
70,C23.5H28.5TbN2.5O10.5<|>complex 3,CIJBIJ,Formula Weight,672.91,None,Not specified,formula weight 672.91,10.1021/acs.analchem.8b00494
71,C23.5H28.5TbN2.5O10.5<|>complex 3,CIJBIJ,Crystal System,Monoclinic,None,Not specified,crystal system monoclinic,10.1021/acs.analchem.8b00494
72,C23.5H28.5TbN2.5O10.5<|>complex 3,CIJBIJ,Space Group,C2/c,None,Not specified,space group C2/c,10.1021/acs.analchem.8b00494
73,C23.5H28.5TbN2.5O10.5<|>complex 3,CIJBIJ,Unit Cell Parameter a,28.614,Å,Not specified,a/Å 28.614 (5),10.1021/acs.analchem.8b00494
74,C23.5H28.5TbN2.5O10.5<|>complex 3,CIJBIJ,Unit Cell Parameter b,14.383,Å,Not specified,b/Å 14.383 (5),10.1021/acs.analchem.8b00494
75,C23.5H28.5TbN2.5O10.5<|>complex 3,CIJBIJ,Unit Cell Parameter c,13.644,Å,Not specified,c/Å 13.644 (5),10.1021/acs.analchem.8b00494
76,C23.5H28.5TbN2.5O10.5<|>complex 3,CIJBIJ,Unit Cell Angle β,97.284,degrees,Not specified,Β (deg) 97.284 (5),10.1021/acs.analchem.8b00494
77,C23.5H28.5TbN2.5O10.5<|>complex 3,CIJBIJ,Volume,5570,Å³,Not specified,volume (Å3) 5570 (2),10.1021/acs.analchem.8b00494
78,C23.5H28.5TbN2.5O10.5<|>complex 3,CIJBIJ,Density,1.475,g cm–3,Not specified,D c (g cm–3) 1.475,10.1021/acs.analchem.8b00494
79,C23.5H28.5TbN2.5O10.5<|>complex 3,CIJBIJ,Temperature,293,K,Not specified,T (K) 293 (2),10.1021/acs.analchem.8b00494
80,C23.5H28.5TbN2.5O10.5<|>complex 3,CIJBIJ,Wavelength,0.71073,Å,Mo Kα radiation,λ (Mo Kα) (Å) 0.71073,10.1021/acs.analchem.8b00494
81,C23.5H28.5TbN2.5O10.5<|>complex 3,CIJBIJ,Reflections Collected,4901,None,Not specified,reflections collected 4901,10.1021/acs.analchem.8b00494
82,C23.5H28.5TbN2.5O10.5<|>complex 3,CIJBIJ,Absorption Coefficient,2.585,mm–1,Not specified,μ (mm–1) 2.585,10.1021/acs.analchem.8b00494
83,C23.5H28.5TbN2.5O10.5<|>complex 3,CIJBIJ,F(000),2448.0,None,Not specified,F(000) 2448.0,10.1021/acs.analchem.8b00494
84,C23.5H28.5TbN2.5O10.5<|>complex 3,CIJBIJ,"Final R1, wR2 [I > 2σ(I)]","0.0275, 0.0693",None,Not specified,"final R 1 , wR 2 [I > 2σ(I)] 0.0275, 0.0693",10.1021/acs.analchem.8b00494
85,C23.5H28.5TbN2.5O10.5<|>complex 3,CIJBIJ,"Final R1, wR2 (all data)","0.0330, 0.0743",None,Not specified,"final R 1 , wR 2 (all data) 0.0330, 0.0743",10.1021/acs.analchem.8b00494
86,C23.5H28.5TbN2.5O10.5<|>complex 3,CIJBIJ,Goodness of Fit on F2,1.004,None,Not specified,GOF on F 2 1.004,10.1021/acs.analchem.8b00494
87,C23.5H28.5TbN2.5O10.5<|>complex 3,CIJBIJ,Quantum Yield,25.11,%,Not specified,"The quantum yield and lifetime are 1.28 ms and 25.11%, respectively (Figure S6c).",10.1021/acs.analchem.8b00494
88,C23.5H28.5TbN2.5O10.5<|>complex 3,CIJBIJ,Lifetime,1.28,ms,Not specified,"The quantum yield and lifetime are 1.28 ms and 25.11%, respectively (Figure S6c).",10.1021/acs.analchem.8b00494
